date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-08-23","71
                                       ",95,51,69,12,35,0.73,79
"
                                        2014-08-24","95
                                       ",181,66,89,21,38,0.86,102
"
                                        2014-08-25","82
                                       ",157,56,79,17,34,1.08,100
"
                                        2014-08-26","101
                                       ",154,68,92,16,43,0.99,91
"
                                        2014-08-27","54
                                       ",66,36,50,12,44,0.70,83
"
                                        2014-08-28","55
                                       ",69,36,56,13,34,0.63,80
"
                                        2014-08-29","59
                                       ",94,42,54,13,47,0.90,48
"
                                        2014-08-30","39
                                       ",12,19,31,11,28,0.55,70
"
                                        2014-08-31","40
                                       ",26,21,37,8,26,0.53,70
"
                                        2014-09-01","51
                                       ",78,34,48,12,28,0.73,75
"
                                        2014-09-02","77
                                       ",173,52,72,16,38,0.81,79
"
                                        2014-09-03","61
                                       ",154,42,53,16,47,1.06,57
"
                                        2014-09-04","137
                                       ",189,104,115,32,41,1.36,100
"
                                        2014-09-05","120
                                       ",169,80,94,13,32,0.94,132
"
                                        2014-09-06","69
                                       ",60,41,55,10,27,0.71,105
"
                                        2014-09-07","58
                                       ",59,33,47,10,27,0.66,91
"
                                        2014-09-08","62
                                       ",77,38,52,12,27,0.70,94
"
                                        2014-09-09","53
                                       ",66,33,46,10,22,0.65,97
"
                                        2014-09-10","66
                                       ",95,44,65,12,28,0.73,82
"
                                        2014-09-11","55
                                       ",81,15,38,12,30,0.63,100
"
                                        2014-09-12","47
                                       ",73,20,44,11,34,0.68,79
"
                                        2014-09-13","42
                                       ",58,15,23,9,27,0.63,77
"
                                        2014-09-14","43
                                       ",48,15,35,8,18,0.55,84
"
                                        2014-09-15","41
                                       ",42,13,30,10,22,0.55,84
"
                                        2014-09-16","53
                                       ",104,29,47,10,30,0.64,90
"
                                        2014-09-17","45
                                       ",86,19,40,12,28,0.57,80
"
                                        2014-09-18","43
                                       ",56,19,36,11,33,0.64,75
"
                                        2014-09-19","57
                                       ",78,38,56,15,61,0.94,43
"
                                        2014-09-20","89
                                       ",161,59,71,21,52,1.04,56
"
                                        2014-09-21","50
                                       ",59,12,29,12,20,0.54,98
"
                                        2014-09-22","46
                                       ",37,14,35,10,15,0.58,86
"
                                        2014-09-23","27
                                       ",14,12,17,9,23,0.68,32
"
                                        2014-09-24","42
                                       ",27,27,36,10,34,0.80,59
"
                                        2014-09-25","71
                                       ",85,46,69,14,51,0.79,90
"
                                        2014-09-26","85
                                       ",94,58,74,10,42,0.92,78
"
                                        2014-09-27","65
                                       ",68,40,50,10,30,0.74,91
"
                                        2014-09-28","46
                                       ",35,20,34,9,22,0.64,90
"
                                        2014-09-29","79
                                       ",163,53,87,19,39,1.01,79
"
                                        2014-09-30","47
                                       ",72,17,31,8,19,0.70,87
"
                                        2014-10-01","48
                                       ",36,20,47,13,30,0.61,72
"
                                        2014-10-02","79
                                       ",124,52,86,20,44,1.01,112
"
                                        2014-10-03","84
                                       ",129,53,69,16,24,0.81,116
"
                                        2014-10-04","56
                                       ",64,15,39,11,19,0.58,103
"
                                        2014-10-05","59
                                       ",47,29,61,14,22,0.74,110
"
                                        2014-10-06","66
                                       ",64,36,61,13,22,0.81,113
"
                                        2014-10-07","62
                                       ",19,29,51,13,34,0.72,100
"
                                        2014-10-08","51
                                       ",6,23,45,12,40,0.78,82
"
                                        2014-10-09","52
                                       ",11,25,43,13,40,0.71,86
"
                                        2014-10-10","65
                                       ",42,30,53,13,30,0.72,113
"
                                        2014-10-11","59
                                       ",27,33,55,12,22,0.66,99
"
                                        2014-10-12","65
                                       ",99,29,67,11,16,0.66,118
"
                                        2014-10-13","70
                                       ",129,28,85,17,24,0.68,82
"
                                        2014-10-14","70
                                       ",53,40,89,29,47,0.92,72
"
                                        2014-10-15","129
                                       ",131,97,142,44,89,1.24,81
"
                                        2014-10-16","141
                                       ",164,102,143,30,88,1.22,71
"
                                        2014-10-17","52
                                       ",16,21,54,13,47,0.64,67
"
                                        2014-10-18","42
                                       ",6,16,40,9,35,0.64,76
"
                                        2014-10-19","50
                                       ",29,23,50,10,29,0.62,85
"
                                        2014-10-20","86
                                       ",88,62,103,15,59,0.93,83
"
                                        2014-10-21","95
                                       ",121,68,99,20,53,1.09,51
"
                                        2014-10-22","68
                                       ",50,47,70,14,33,0.82,80
"
                                        2014-10-23","63
                                       ",23,42,68,11,56,0.75,69
"
                                        2014-10-24","58
                                       ",15,31,55,11,47,0.64,80
"
                                        2014-10-25","55
                                       ",15,32,49,11,41,0.58,79
"
                                        2014-10-26","77
                                       ",48,55,83,17,55,0.77,84
"
                                        2014-10-27","73
                                       ",71,43,81,12,34,0.68,82
"
                                        2014-10-28","54
                                       ",22,18,57,10,34,0.55,76
