date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-05-20","121
                                       ",141,78,129,9,45,0.89,111
"
                                        2014-05-21","142
                                       ",153,107,168,25,52,1.46,126
"
                                        2014-05-22","191
                                       ",186,138,198,37,62,1.44,111
"
                                        2014-05-23","127
                                       ",175,80,155,19,55,0.81,120
"
                                        2014-05-24","101
                                       ",162,75,80,5,45,1.01,54
"
                                        2014-05-25","121
                                       ",141,65,114,2,29,0.67,57
"
                                        2014-05-26","65
                                       ",54,21,76,4,54,0.44,62
"
                                        2014-05-27","105
                                       ",85,35,149,4,43,0.39,64
"
                                        2014-05-28","80
                                       ",76,30,90,8,54,0.60,90
"
                                        2014-05-29","97
                                       ",78,42,116,9,65,0.69,103
"
                                        2014-05-30","140
                                       ",128,81,167,34,57,1.49,169
"
                                        2014-05-31","157
                                       ",160,112,210,42,58,2.11,166
"
                                        2014-06-01","88
                                       ",138,43,65,2,27,0.65,132
"
                                        2014-06-02","62
                                       ",98,27,46,2,29,0.47,104
"
                                        2014-06-03","75
                                       ",133,32,60,13,39,0.57,115
"
                                        2014-06-04","98
                                       ",156,54,90,8,46,0.87,121
"
                                        2014-06-05","111
                                       ",148,60,102,10,46,0.83,132
"
                                        2014-06-06","88
                                       ",111,59,96,10,45,1.04,55
"
                                        2014-06-07","37
                                       ",20,9,26,2,27,0.35,64
"
                                        2014-06-08","56
                                       ",42,25,56,6,55,0.65,58
"
                                        2014-06-09","58
                                       ",79,27,53,6,42,0.59,75
"
                                        2014-06-10","90
                                       ",139,66,84,6,42,1.17,78
"
                                        2014-06-11","69
                                       ",89,38,38,2,30,0.70,78
"
                                        2014-06-12","63
                                       ",43,24,57,5,39,0.51,89
"
                                        2014-06-13","100
                                       ",105,50,88,7,44,0.87,90
"
                                        2014-06-14","83
                                       ",76,37,67,3,39,0.63,119
"
                                        2014-06-15","149
                                       ",164,98,138,13,50,1.16,134
"
                                        2014-06-16","167
                                       ",174,126,150,3,41,1.01,120
"
                                        2014-06-17","120
                                       ",161,81,99,3,33,0.89,114
"
                                        2014-06-18","87
                                       ",129,60,72,3,35,0.73,99
"
                                        2014-06-19","158
                                       ",181,120,132,5,44,1.16,91
"
                                        2014-06-20","71
                                       ",145,43,37,2,27,0.79,86
"
                                        2014-06-21","100
                                       ",176,65,62,4,33,0.96,83
"
                                        2014-06-22","59
                                       ",89,28,40,2,30,0.58,81
"
                                        2014-06-23","64
                                       ",80,23,44,2,37,0.47,90
"
                                        2014-06-24","97
                                       ",135,49,86,5,51,0.73,117
"
                                        2014-06-25","134
                                       ",183,100,124,10,47,1.21,87
"
                                        2014-06-26","173
                                       ",185,125,53,3,32,1.05,114
"
                                        2014-06-27","47
                                       ",55,18,40,2,33,0.43,76
"
                                        2014-06-28","50
                                       ",45,19,45,5,41,0.43,68
"
                                        2014-06-29","84
                                       ",125,41,84,10,51,1.00,88
"
                                        2014-06-30","121
                                       ",167,72,120,15,52,1.17,144
"
                                        2014-07-01","124
                                       ",158,88,136,17,48,0.99,96
"
                                        2014-07-02","84
                                       ",148,55,57,2,27,0.87,100
